,g,album_artist,x,k,m,N,p-val,adj_pval(BH)
1871,premium,Bree Valencia,1038,3111035,1290,4313582,1.7230587687481986e-12,4.356225678872028e-12
1547,premium,Easter Norris,122,3111035,128,4313582,1.7279610972708812e-12,4.363598311154168e-12
75,premium,Veronica Klein,462,3111035,546,4313582,1.7481482224208338e-12,4.4095082028227e-12
1299,premium,Loreen Haley,439,3111035,517,4313582,1.8974573437717274e-12,4.780635073700097e-12
642,premium,Ernie Wilson,435,3111035,512,4313582,1.9705448416357118e-12,4.959091657587238e-12
1470,premium,Gertrud Day,134,3111035,142,4313582,2.0633609875982022e-12,5.1808046740037144e-12
665,premium,Candi Chung,134,3111035,142,4313582,2.0633609875982022e-12,5.1808046740037144e-12
875,premium,Gilberto Dunlap,198,3111035,218,4313582,2.136559281981659e-12,5.358471167253088e-12
1740,premium,Minda Bragg,178,3111035,194,4313582,2.163446683820768e-12,5.419717633243132e-12
846,premium,Harrison Barnes,107,3111035,111,4313582,2.4213994431503264e-12,6.059014324147229e-12
916,premium,Randee Gallagher,167,3111035,181,4313582,2.5206274751029328e-12,6.300134883732814e-12
965,premium,Ok Tucker,145,3111035,155,4313582,2.5614242105281733e-12,6.394828398329996e-12
2051,premium,Angeline Winter,239,3111035,268,4313582,2.6552509884388942e-12,6.621550989330591e-12
1764,premium,Marylou Mackey,99,3111035,102,4313582,2.6987554864916005e-12,6.722410208415018e-12
1762,premium,Treena Kern,1178,3111035,1475,4313582,2.9453854579812242e-12,7.328439242564835e-12
868,premium,Magnolia Hollingsworth,282,3111035,321,4313582,2.96181445491407e-12,7.360980042359969e-12
1976,premium,Matilda Capps,161,3111035,174,4313582,3.0002956395294953e-12,7.448191548074917e-12
2091,premium,Cherie Galindo,206,3111035,228,4313582,3.121973201936234e-12,7.741506912701925e-12
660,premium,Latisha Tang,309,3111035,355,4313582,4.508989543860082e-12,1.1168263842007441e-11
1485,premium,Asuncion Padilla,304,3111035,349,4313582,5.369004450357378e-12,1.32685070612319e-11
802,premium,Dinah Mcclendon,304,3111035,349,4313582,5.369004450357378e-12,1.32685070612319e-11
1604,premium,Tarsha Dooley,213,3111035,237,4313582,5.400461861129924e-12,1.3331252481912857e-11
1927,premium,Jermaine Payne,198,3111035,219,4313582,6.6326803281169395e-12,1.6354656207489245e-11
1327,premium,Zulma Owen,202,3111035,224,4313582,7.871021173163932e-12,1.9386360445561838e-11
2104,premium,Vella Hayward,884,3111035,1093,4313582,7.929406736776525e-12,1.950829406573127e-11
416,premium,Ulysses Kauffman,342,3111035,397,4313582,8.184930909187569e-12,2.0114421932309942e-11
1342,premium,Suellen Rutledge,463,3111035,550,4313582,8.931943635912315e-12,2.1925676165474144e-11
440,premium,Roma Holbrook,289,3111035,331,4313582,8.985035634462906e-12,2.2031387599235498e-11
184,premium,Chelsie Tyler,140,3111035,150,4313582,9.755650354313726e-12,2.389427405621768e-11
1032,premium,Myrle North,224,3111035,251,4313582,9.889797842543266e-12,2.41958639867122e-11
176,premium,Ping Bermudez,372,3111035,435,4313582,1.0185500602714333e-11,2.4891596022428687e-11
2220,premium,Ilana Thompson,241,3111035,272,4313582,1.1630053328573068e-11,2.8390252403194477e-11
988,premium,Pearlene Kraft,204,3111035,227,4313582,1.4511785156488266e-11,3.5385562695676716e-11
2084,premium,Mahalia Robbins,101,3111035,105,4313582,1.460310818999357e-11,3.5568767952789215e-11
67,premium,Dora Mcnally,1100,3111035,1378,4313582,1.8014368218428417e-11,4.38289778249028e-11
